"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","GS","Min","G","A","A2","KP","AF","SOT","SOP","TkW","TLM","DIS","FS","YC","RC","ACNC","Int","IntB","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","MCS"
"*062p9*","Kalidou Koulibaly","CHE","D","160","AUTO REL","NEW 1<br/>@CHE 1 F","10","10","0%","0%","1","1","90","0","0","0","2","0","0","0","2","0","0","2","0","0","0","0","0","2","0","0","2","0","0","0","1","0"
"*02lny*","Ashley Young","AVL","D","197","FA","BHA 1<br/>@AVL 2 F","10","10","0%","0%","1","1","90","0","0","0","0","0","0","0","0","0","0","2","0","0","0","2","0","6","0","1","0","0","0","0","0","90"
"*03m3q*","Ainsley Maitland-Niles","ARS/SOU","M","260","FA","LIV 4<br/>@SOU 4 F","9.75","9.75","0%","0%","1","1","88","0","0","0","0","0","0","0","2","0","1","0","0","0","0","5","0","2","0","0","2","0","0","0","2","0"
"*05nuh*","Robin Koch","LEE","D","146","FA","TOT 4<br/>@LEE 1 F","9.75","9.75","0%","0%","1","1","90","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","5","0","0","2","0","0","0","0","90"
"*05os8*","Joachim Andersen","CRY","D","105","KFFC","NOT 1<br/>@CRY 1 F","9.5","9.5","50%","-1%","1","1","90","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","8","0","0","3","0","0","0","0","90"
"*04spq*","Jack Harrison","LEE","M","42","Noah B","TOT 4<br/>@LEE 1 F","9.45","9.45","3%","0%","1","1","63","0","0","0","2","0","0","0","1","0","0","1","0","0","2","0","0","0","1","0","0","0","0","0","0","63"
"*063zi*","Matheus Nunes","WOL","M","108","YUM","WOL 0<br/>@ARS 5 F","9.25","9.25","99%","0%","1","1","90","0","0","0","1","0","0","0","2","0","3","3","0","0","0","2","0","1","1","1","0","0","0","0","1","0"
"*061ya*","Brennan Johnson","NOT","F","92","DF","NOT 1<br/>@CRY 1 F","9.25","9.25","54%","-1%","1","1","81","0","0","0","1","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"*061vg*","Siriki Dembele","BOU","M","445","FA","BOU 0<br/>@EVE 1 F","9.25","9.25","0%","0%","1","0","51","0","0","0","3","0","1","0","1","0","3","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"*05m46*","Luke Thomas","LEI","D","335","FA","WHU 1<br/>@LEI 2 F","9.25","9.25","0%","0%","1","1","90","0","0","0","1","0","0","0","1","0","0","0","0","0","0","4","0","0","1","0","2","0","0","0","2","0"
"*04tzt*","Jefferson Lerma","BOU","M","85","KFFC","BOU 0<br/>@EVE 1 F","9","9","22%","-4%","1","1","90","0","0","0","0","0","0","0","1","0","3","2","0","0","1","2","0","3","2","1","2","0","0","0","2","0"
"*05uhw*","Samuel Edozie","MCI/SOU","F","368","FA","LIV 4<br/>@SOU 4 F","8.75","8.75","0%","0%","1","1","76","0","0","0","0","0","1","0","3","0","1","1","0","0","0","2","0","0","0","0","1","0","0","0","1","0"
"*04ug0*","Sean Longstaff","NEW","M","154","FA","NEW 1<br/>@CHE 1 F","8.5","8.5","12%","0%","1","1","90","0","0","0","0","0","0","0","0","0","1","4","0","0","0","2","0","2","0","1","4","0","0","0","0","90"
"*05oyq*","Said Benrahma","WHU","M","58","RyRob","WHU 1<br/>@LEI 2 F","8.25","8.25","0%","0%","1","1","90","0","0","0","3","0","0","0","1","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","2","0"
"*043qz*","Pierre-Emile Hojbjerg","TOT","M","53","KFFC","TOT 4<br/>@LEE 1 F","8.25","8.25","0%","0%","1","1","87","0","0","0","1","0","0","0","2","0","2","0","0","0","0","2","0","1","0","1","2","0","0","0","2","0"
"*043c1*","Oleksandr Zinchenko","ARS","D,M","174","FA","WOL 0<br/>@ARS 5 F","8","8","1%","0%","1","1","59","0","0","0","1","0","1","0","1","0","0","2","0","0","0","1","0","0","0","0","1","0","0","0","0","0"
"*05u4m*","Patson Daka","LEI","F","207","FA","WHU 1<br/>@LEI 2 F","8","8","0%","0%","1","1","14","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05ylj*","Bruno Guimaraes","NEW","M","46","Noah B","NEW 1<br/>@CHE 1 F","8","8","100%","0%","1","1","90","0","0","0","0","0","0","0","3","0","4","5","1","0","0","1","0","0","2","0","3","0","0","0","0","90"
"*05w91*","Hwang Hee-Chan","WOL","F","292","j.l.","WOL 0<br/>@ARS 5 F","7.75","7.75","3%","0%","1","1","90","0","0","0","1","0","0","0","2","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","1","0"
"*03dyl*","Jeffrey Schlupp","CRY","M","119","FA","NOT 1<br/>@CRY 1 F","7.75","7.75","0%","0%","1","1","90","0","0","0","1","0","0","0","2","0","0","0","0","0","0","1","0","2","0","0","1","0","0","0","0","90"
"*04yo6*","Miguel Almiron","NEW","M","57","RK U8","NEW 1<br/>@CHE 1 F","7.67","7.67","0%","0%","1","1","83","0","0","0","1","0","0","0","0","0","1","4","0","0","0","1","0","0","2","0","0","0","0","0","0","83"
"*038ze*","Alex Iwobi","EVE","M","29","KFFC","BOU 0<br/>@EVE 1 F","7.5","7.5","83%","+7%","1","1","90","0","0","0","0","0","0","0","3","0","1","0","0","0","1","2","0","3","0","0","0","0","0","0","1","0"
"*03gu5*","Andrew Robertson","LIV","D","63","Laeka B","LIV 4<br/>@SOU 4 F","7.5","7.5","22%","-8%","1","1","61","0","0","0","2","0","0","0","0","0","0","0","0","0","2","1","0","1","0","0","0","0","0","0","1","0"
