"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","Min","G","A","KP","AFKG","APKG","SOT","TkW","DIS","YC","RC","ACNC","Int","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","CS"
"*03dxa*","Kevin Long","BUR","D","464","FA","NEW 2<br/>@BUR 1 F","6.5","1.08","0%","0%","6","406","0","0","0","0","0","0","2","0","1","0","0","1","19","0","1","13","0","0","0","7","0"
"*060u7*","Tony Springett","NOR","M","465","FA","TOT 5<br/>@NOR 0 F","6.5","2.17","0%","0%","3","139","0","0","2","0","0","1","1","3","1","0","1","0","1","1","0","1","0","0","0","6","0"
"*05xne*","Nicolas Nkoulou","WAT","D","466","FA","WAT 1<br/>@CHE 2 F","6","2","0%","0%","3","166","0","0","1","0","0","0","0","1","0","0","0","2","8","1","1","2","0","0","0","2","0"
"*04e1h*","Dale Stephens","BUR","M","467","FA","NEW 2<br/>@BUR 1 F","4.75","1.58","0%","0%","3","122","0","0","1","0","0","0","1","0","1","0","0","1","1","0","1","0","0","0","0","0","1"
"*056iu*","Jean-Philippe Gbamin","EVE","M","468","FA","EVE 1<br/>@ARS 5 F","4.25","1.42","0%","0%","3","65","0","0","0","0","0","0","1","2","0","0","0","1","1","2","0","1","0","0","0","2","0"
"*05trg*","Finley Stevens","BRF","D,M","470","FA","LEE 2<br/>@BRF 1 F","4.25","4.25","0%","0%","1","13","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"*0435u*","Eric Bailly","MUN","D","471","FA","MUN 0<br/>@CRY 1 F","3.75","0.94","0%","0%","4","215","0","0","0","0","0","0","4","1","1","0","0","3","10","0","2","6","0","0","1","4","0"
"*0329o*","Dwight Gayle","NEW","F","472","FA","NEW 2<br/>@BUR 1 F","3.75","0.47","0%","0%","8","30","0","0","2","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0"
"*05ogl*","Charlie Cresswell","LEE","D","474","FA","LEE 2<br/>@BRF 1 F","3.5","0.7","0%","0%","5","138","0","0","0","0","0","0","2","0","1","0","0","2","6","0","1","6","0","0","0","4","0"
"*0452s*","Ashley Fletcher","WAT","F","476","FA","WAT 1<br/>@CHE 2 F","3.25","1.08","0%","0%","3","26","0","0","0","0","0","1","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0"
"*02lof*","Ryan Fredericks","WHU","D","477","FA","WHU 1<br/>@BHA 3 F","3.25","0.46","0%","0%","7","299","0","0","2","0","0","0","2","1","1","0","1","4","5","0","1","3","0","0","0","6","0"
"*05trc*","Tariqe Fosu-Henry","BRF","M","479","FA","LEE 2<br/>@BRF 1 F","3","3","0%","0%","1","15","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"*05uhk*","Tyler Morton","LIV","M","480","FA","WOL 1<br/>@LIV 3 F","2.75","1.38","0%","0%","2","64","0","0","0","0","0","0","0","0","1","0","0","3","0","0","0","2","0","0","0","1","0"
"*04ym2*","Taylor Richards","BHA","M,F","481","FA","WHU 1<br/>@BHA 3 F","2.5","1.25","0%","0%","2","21","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"*05rjn*","Jesurun Rak-Sakyi","CRY","M","482","FA","MUN 0<br/>@CRY 1 F","2.25","1.12","0%","0%","2","79","0","0","0","0","0","0","0","2","0","0","1","1","0","0","0","0","0","0","0","0","1"
"*05x9k*","Jeremy Sarmiento","BHA","F","483","FA","WHU 1<br/>@BHA 3 F","2.25","0.45","0%","0%","5","40","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","1","0","0","0","2","0"
