"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","Ros","+/-","GP","Min","G","A","KP","AFKG","APKG","SOT","TkW","DIS","YC","RC","ACNC","Int","CLR","CoS","BS","AER","PKM","OG","GAO","CS"
"*02t1b*","Kyle Bartley","WBA","D","149","FA","WBA 1<br/>@LEE 3 F","198.75","6.62","0%","0%","30","2,582","3","1","7","0","0","5","16","2","4","0","0","38","158","4","35","107","0","0","53","5"
"*03eki*","Cheikhou Kouyate","CRY","M","152","FA","CRY 0<br/>@LIV 2 F","197","5.47","0%","0%","36","3,122","1","0","8","0","0","2","37","8","4","0","1","32","123","10","26","83","0","0","56","8"
"*04qqv*","Fred","MUN","M","153","FA","MUN 2<br/>@WOL 1 F","196","6.53","0%","0%","30","2,389","1","0","25","0","0","7","39","30","5","0","0","45","21","24","9","9","0","0","25","12"
"*03297*","Conor Townsend","WBA","D","154","FA","WBA 1<br/>@LEE 3 F","195","7.8","0%","0%","25","2,235","0","2","23","0","0","4","28","7","0","0","16","36","51","11","15","43","0","0","36","6"
"*04spy*","Mason Greenwood","MUN","F","155","Noah B","MUN 2<br/>@WOL 1 F","194.25","6.27","0%","0%","31","1,809","7","2","14","0","0","24","10","29","2","0","6","5","1","36","0","6","0","0","23","7"
"*05749*","Kieran Tierney","ARS","D","157","JADON","BHA 0<br/>@ARS 2 F","193.25","7.16","0%","0%","27","2,298","1","3","31","0","1","3","15","14","4","0","23","16","56","16","10","18","0","0","27","8"
"*051l5*","John Fleck","SHU","M","158","FA","BUR 0<br/>@SHU 1 F","192.75","6.22","0%","0%","31","2,576","0","2","33","0","0","5","33","24","4","0","8","28","10","30","4","12","0","0","47","5"
"*04ge6*","Joe Willock","ARS/NEW","M","159","Noah B","NEW 2<br/>@FUL 0 F","192.5","9.17","2%","-1%","21","1,208","8","0","10","0","0","13","16","19","1","0","3","20","10","26","4","19","1","0","18","4"
"*044nm*","Rob Holding","ARS","D","160","JADON","BHA 0<br/>@ARS 2 F","191.5","6.38","0%","0%","30","2,557","0","1","4","0","0","2","20","6","2","0","1","24","119","8","27","72","0","1","26","11"
"*03frx*","Ola Aina","FUL","D","161","FA","NEW 2<br/>@FUL 0 F","191","6.16","39%","-8%","31","2,663","2","1","15","0","0","4","20","10","3","0","9","45","81","21","6","31","0","0","36","8"
"*051ki*","Ben Godfrey","NOR/EVE","D,M","162","JLINGZ","EVE 0<br/>@MCI 5 F","190.25","6.14","0%","0%","31","2,682","0","2","4","0","0","2","33","6","4","0","3","33","110","9","37","57","0","1","35","11"
"*02lpf*","Ross Barkley","CHE/AVL","M","163","FA","CHE 1<br/>@AVL 2 F","189.5","7.29","11%","-2%","26","1,559","3","1","40","0","1","12","2","33","0","0","3","5","6","30","1","23","0","0","24","8"
"*05oyq*","Said Benrahma","WHU","F","164","JADON","SOU 0<br/>@WHU 3 F","187.75","6.26","0%","0%","30","1,369","1","6","27","0","0","12","15","33","0","0","9","8","4","42","0","3","0","0","19","3"
"*04u6i*","Leander Dendoncker","WOL","M","165","FA","MUN 2<br/>@WOL 1 F","185.75","5.63","0%","0%","33","2,495","1","0","17","0","0","8","29","11","4","0","3","27","48","7","15","85","0","1","33","11"
"*02rll*","Nathan Redmond","SOU","M","166","JLINGZ","SOU 0<br/>@WHU 3 F","185","6.38","0%","0%","29","1,721","2","3","29","0","0","13","17","37","1","0","4","11","8","39","2","10","0","0","39","1"
"*03am7*","Jacob Murphy","NEW","M","167","FA","NEW 2<br/>@FUL 0 F","184.75","7.11","56%","0%","26","1,613","2","3","19","0","0","9","24","25","3","0","15","14","24","39","3","6","0","0","33","3"
"*04qr8*","Diogo Jota","WOL/LIV","F","168","FA","CRY 0<br/>@LIV 2 F","183.75","9.67","0%","0%","19","1,106","9","0","12","0","0","26","6","20","2","0","1","5","3","21","0","14","0","0","15","4"
"*04e1e*","Ben White","BHA","D","170","FA","BHA 0<br/>@ARS 2 F","183","5.08","70%","-1%","36","3,192","0","0","8","0","0","1","26","10","3","1","1","62","50","24","22","49","0","0","44","12"
"*04g1w*","Antonio Rudiger","CHE","D","169","CFPL","CHE 1<br/>@AVL 2 F","183","9.63","0%","0%","19","1,710","1","0","3","0","0","7","23","1","0","0","1","18","51","3","10","42","0","1","10","11"
"*02lnx*","Danny Welbeck","WAT/BHA","F","171","RyRob","BHA 0<br/>@ARS 2 F","180.75","7.53","89%","+1%","24","1,536","6","1","22","0","2","15","6","13","0","0","0","7","12","18","0","22","1","0","18","6"
